Party_3
Black Swan Guerrilla Force
Special Force 11 PDF
Bagan Ogre Force
Pale Joker
Youth Vigor Revolution Force
M7 People’s Defence Force
Myingyan Zero PDF
Fire Dragon PDF
No More Dictatorship PDF
Tamu PDF
AK PDF
Lin Mway PDF
Myaung Women Warriors - M2W
People Revolution Force
Tamu District PDF
Sit Kyun Ma Khan Mway Soe Ta Taik PDF
Anyar Myay Special Commando Defence Force
BGS Ayadaw Drone Force
Gen 21
Magway PDF
Natmauk PDF
Solo Aung Gyi PDF
Thabeikkyin PDF
Katha PDF
Magway District PDF (Drone Battalion)
Ayadaw Bone Naing PDF
MVP Force
People's Defence Force Myinmu - MMU PDF
Bo Lin Yon PDF
Meiktila PDF
Monywa Underground Guerrilla Force (MUGF)
Myaung Fighter Defence Force
One Star Task Force
Pyi Taw Win Guerrilla Force
VAKOK (CNDF)
Zero Power PDF
Homalin PDF
Anyar Federal Task Force
Burma Revolution Rangers
Chindwin Fighter Group (C.F.G)
Khin-U Support Organization - KSO
Naung Yoe Special Guerrilla Force - NYSGF
Ayar Daung People Defence Force
Thein Kha Arr Marn
AMT Guerrilla Force
Wolf Underground Force - Myaing
Peacock Generation Z
Shwebo Tiger PDF
Thakhin Daung Nyo PDF
Myanmar Islamic Commando PDF
Daung Lan Hlwint Mak Say Ta Man PDF
King of Forest PDF
Taung Thu Gyi Group
Galone LPDF
Ka Myin Ma Ni PDF
Mawlaik PDF
Royal Eagle PDF
Freeland Attack Force (FLA)
Ruby Brothers PDF
God of Myaing
Kani PDF
Yinmarbin Fighter Brotherhood Guerrilla Army
Black Peacock Without Borders Guerrilla Force
Scorpions PDF
Student's Revolutionary Force (S.R.F)
Super Light PDF
Chinland Defence Force - Kalay Kabaw Gangaw
Taung Nyo Dragon PDF
Taze Tiger PDF
War Lord Defence Force - Shwe Bo
Mahuya Kywe Yaing PDF
Monywa Commando Force
Mahuya Alintan Guerrilla Force
People Defence Army (PDA)
Popa Guerilla Force
Security & Special Task Force (SSTF-MDY)
Yaung Ni Drone Force
Young People Force (YPF)
Zarmini MMU PDF
Myaing Fighter PDF
Nat Taung Naga PDF
Yae Lel Kyun PDF's Alliance
Anyar Thar Lay PDF
Federal Brothers Guerrilla Force
Federal Democracy Revolution Force - FDRF
Sagaing Federal Wings
Shwe Ao Revolution Force
Bo Mahar PDF
Eagle Brothers PDF
Myinmu People's Security Force
Pakokku Hunter
Taze Spring Revolution
Justice Warriors Force
Red Hawk PDF
Future Hero PDF
Yaw Army (YA)
Dragon Brothers Task Force - DBTF
Myae Lat Region Guerrilla (MRG)
Ta Man Tiger PDF
Black Dragon Force (Monywa)
Hti Sha PDF
Monywa Night King
Bamar Peacock Guerrilla Force
Nga Ba Guerrilla Force
Shwebo LDF
Son of Sagaing Without Borders PDF
Ta Ko Taw Mite Khae PDF
Bright Star Group
G-21 Guerrilla Force
Black Hunter People’s Task Force
Byet Ta Nyi Naung PDF
Kamma Underground PDF
Southern Pauk Guerrilla Force - SPGF
Banmauk PDF
Datha Monywa PDF
The Red Revolters
Tiger PDF
YSO Island Spotted Army
Ye Baw Nyi Naung Guerrilla Force
Myae Lat PDF
Yan Gyi Aung PDF
Bo Moke Sate PDF
MP9 PDF
Salingyi Revolution Army
Prey Kite Shwebo (LDF)
West Plain PDF
YLK New Power PDF
5/ Teachers PDF
Yadanabon PDF
Yenanthar Youth Force
Emerald Girls Army (EGA)
Ta Kaung Bwar Moe Kyoe PDF
Golden Brother PDF
Dar Ma Saing Army (DMSA)
Forest Fighter
Monywa Dynamite
Myitnge PDF
Hero Group PDF
Mother Son PDF - Wetlet
Wild Tiger PDF
Bo 60 Guerrilla Force
Hero New GZ
God of Death Guerrilla Force
MG-6 Guerrilla Force (Myingyan)
Hawk Guerrilla Force
Monywa District - Lightning PDF
5/ UG
Kind-hearted Bone-heads - Myingyan
Monywa Truth of Force
Yinmarbin Local People’s Defence Force -YMBLPDF
Eagle Wings Drone Force
Katha District PDF
Sky Hero - Madaya
TKGF
Northern Seikphyu PDF
Yae Lel Kyun Guerrilla Force
Bad Tigers
Arr Marn Thit PDF
Nagar Yazar PDF
Nine PDF
Special Guerrilla Force - Monywa
Bo Tiger PDF - Wetlet
Fire Dragon Guerrilla Force
Lightning Thunderstorm Force
Nay Pyi Taw PDF
Wild Bird (Kawlin)
ACID Army PDF - MDY
Farmer Warriors Force
Mya Nandar PDF
Ngar Pyay Ma Guerrilla Force
Guerrilla Warfare K.P.K PDF
Hnin Kway PDF
Ngazun Special Task Force
Union Liberation Front
Myanmar Che Guevara PDF
SRA
Young Fighters PDF - Myaung
Bo Mi Chaung PDF
Fire Dragon Revolution Force NZN
Future Star PDF
Monywa Satan
Shwe Dar Bo (SDB) PDF
Wetlet Prince PDF
Burmese Farmers Defense Force (BFDF)
Myingyan Ranger Group
Phoenix Without Borders Guerrilla Force
Pwal Tine Kyaw PDF
Anyar Brother LPDF Collective Force - ABCF
Brave Warriors for Myanmar (BWM)
Freedom Fighter Drone Force
United States Of Burma Army - USBA
B.C Special Guerrilla Force
Kawlin District PDF
Na Gar Pauk PDF
Nant Thar Myae Yet Kha PDF
Nyi Naung Thone Hpaw PDF
People Defence Force of Magway
Aung San Generation Monywa
Rocket Fighter PDF
Royal Seven PDF
Sintkaing Revolution Force - SRF
513 - Red Dragon PDF
Ba Nyein Guerrilla Force
M Daung Ni PDF
MPF U-18
Patheingyi PDF
Rural Guerrilla Force - Myaing
Kyauk Lone Gyi
Paungbyin PDF
Saw Bwar Gyi MPDF
Thunder Guerrilla Force - Madaya
Brave Eagles Revolution Force - BERF (Kani)
Kalewa - PDF
Magway Guerrilla Warfare
Chaung-U Local Defence Force (CLDF)
Shinning Stars
Ye-U Freedom Comrades (YFC)
Ma Ni Lay PDF
Bo Hnakhan Hmwei PDF
Kalay Revolution Force (KRF)
Ko Khaing Lay group
Myae Let PDF - Myingyan
Myaung Farmer Defence Force
Twae Ma Shaung (Southern Pauk)
Southern Pauk People’s Defense Force SPPDF
Steel Hawk PDF
Unity Force Monywa
White PDF
Bo Nay Toe Group
Golden Star Force
Myo Set Thit Local PDF
Ponnaka PDF
Shwebo Tha Khin Gyi
Spring Guerrilla Platoon
Bo Nar Pauk
Klar Thic Nat PDF
Revolutionary Air Force - RAF
Sidoktaya PDF
CDF-Zophei
Kachin Region People Defence Force - KPDF
Myaing Revolution Army
Yan Shin Local PDF
Anonymous Fighters Force (AFF)
Monywa Fighter Group (MFG)
Ogre Brothers PDF
Rohingya Solidarity Organisation (RSO)
Royal Falcon Guerrilla Force
Seikphyu PDF
King Viper PDF
Monywa People's Security Force
Swallow PDF
Upper Minhla People Defence Force (UMH PDF)
Young Revolution Front - YRF
Bandula PDF
Minbu PDF
Pauk-Myaing Alliance Force
People's Guerrilla Commando – Myinmu
Sa Nay Min
Special Revolution Force - SRF
Spring Warriors Column
Warrior Brother Guerrilla Force
Bagan - Nyaung-U PDF
Devil UG Force - MDY
Saw PDF (Yaw Region PDF's Alliance - YRPA)
Spring Soldier PDF
Young Man PDF
Zayar Shwe Myay PDF
Cobra PDF - Budalin
Myingyan Danger Dynamite
SLN LPD(Salin Local People's Defence Force)
Yoma Fighter
Anyar Defence Force (A.D.F)
Bo Swallow Without Borders Guerrilla Force
Gaara BLDF
YLK Guerrilla Force
Ayadaw Falcon Force (AF2)
Ayeyarwaddy Daung Ta Marn PDF
Bo Tathaung People’s Defense Force - BTT PDF
Galone Gyi PDF (Shwebo)
Pakokku Special Guerrilla Force - PSGF
Nat Soe PDF
Pon Taung Tiger PDF
Wings of KSE
Asho Chin Defence Force - ACDF
Black Hawk Seikphyu Revolution Front (BHSRF)
Bharmahte Artillery Guerrilla Force - Myaing
Democratic Guerrillas Force (DGF)
Township Okekyi
Chindwin Spring
Shwebo Daung Marn
Bo Nay Min PDF
Kyaukhtu PDF
Myaung Special Drone Force - MSDF
Southern Magway People Defence Force (SMGY PDF)
Urban Guerrilla Force - Kalay
Alawaka Guerrilla Force
Bo King PDF
Shein Ma Kar PDF
Doe Nyi Naung PDF
Ghost of Enemies - G.O.E PDF (Myaing)
PDF - Pwintbyu
Tada-U PDF
The Brightness - Monywa
ADRF Revolution Alliance - Madaya
Byata Brothers
M7 People's Defence Army
People's Defence Army (Mawlaik District)
Tike Nel Sun PDF
Beikthano PDF
Burma Rangers (ShweBo)
Golden Dove Guerrilla Force
Regional Friend Fighters - RFF PDF
Spaceman Salingyi Drone Army (SSDA)
Galone Army - Natmauk
Joker Guerrilla Force (Myaing)
MPDF
People Revolution Army (PRA)
Tar Tay Gyi PDF
VOMDY-Front Warrior
CDF - Lautu
Mandalay Drone Force - MDF
One Day Revolution Force
Red Dragon Defence of Force
STANDARD REVOLUTION FORCE - SRF MMU
Farmer Heros (Khin-U)
Peacock Warrior Force Madaya
Pyaung Gyi
Thunder Guerrilla Force - Pwintbyu
Daung Lay LPDF
Garuda People's Defence Force
Harmonious Northern Brotherhood - HNB
Htilin PDF
Ko Aung Gyi PDF
Real Heros PDF
Shwe Lal Kyun LPDF
True Fighter MMU
Water Dragon PDF
Burmese Revolution Youths
Kings Cobra Guerrilla Force - MDY (K.C.G.F)
Black Tiger Monywa PDF
Dark Shadow PDF
Zay Yar Thway Kyar Yine PDF
5/ Commando Force PDF
Galone Army - Depayin
Joker Shwebo Defence Force
Myinmu Revolution Force (MMRF)
Red Dragon Revolution Force
Shwebo Fighter One
Takaung PDF
Ayeyarwaddy Brothers Revolution Force - ABRF Madaya
Indaw PDF
Myaing Rural Guerrilla Force - MRGF
One Local PDF
People Servant Guerrilla Force
Chindwin GZ Defense Force (KPDF)
K.N.T Guerrilla Force
Black Hero
Eagle Brigade
Fighter Nine Forces (Salingyi)
Freedom Without Borders Federal Force
Tu Mee Fighter PDF
CDF - Senthang
Independence Army (IA)
Sayar Chit and Brothers
Storm Force
TTA - Shwebo
Black Falcon PDF
Daung Yazar UG Force
SRAF BLDF
Sun King Envoy Monywa (SKE)
Ta Ko Taw Pyan Hlwar PDF
Zero Fighters PDF
Monywa District Drone Team
Revolution Soldier
Sagaing Region PDF
Sayasan YMB PDF
Tigyaing PDF
Eagle Force (Thayet & Kamma & Mindon)
Myingyan Twenty One Guerilla Force - MTGF
Takhin Mya Artillery Force
Yaw Revolution Army - Htilin
Arakan Rohingya Army (ARA)
Otter PDF
Red Giant (RG)
Snipe Rangers Force (S.R.S.F)
Thirty Comrades - Depayin
X-Force LPDF ShweBo
Zarmani Revolution Force
Peacock Warrior Guerrilla Force - Natmauk
Shwe Min Thar LPDF
Yenangyaung PDF
CDF - Mara
CDF-Hualngoram
Infinite Revolution Force (IRF)
Ka Naung PDF
Kuki National Army - KNA (Burma)
Myo Thit PDF
Bo Mo Thee
Bo Thanmani - YMB PDF
Daung Min LPDF (Shwebo)
Farmers Revolution Force - Monywa
Nant Thar Myaing Guerrilla Force
Salingyi Revolution Eagles
Aung San’s Land Natmauk
Aunglan PDF
Myaung Tiger PDF
Pauk Revolution Front (PRF)
PDF Kyaukpadaung
Saka Guerrilla Force
Wingabar PDF
Myanmar Defence Force (Hydra Force)
Nay Pyi Taw Battalion
Black Garuda PDF
CDF - Tonzang
Democratic Local Coalition (DLC)
Key of Revolution
Little Hunter PDF
Myaing People's Security Force
Pone Taung Brothers PDF
Galone Min PDF
Koe Taung Kyar PDF
Mongmit District - KPDF
Satkyar Local PDF
Zoe Fighter PDF
Brave Brothers PDF
Budalin Mobile Team
God of Satans-GOS
Nway Oo Dakho PDF
People Revolution Force Kyaukse (PRFK)
Tha Byay PCM Force
Tiger Bann
Tike Daung PDF
Warriors of Liberation Force (WOLF)
Bo Kyar Thit group
Bo Pauk Kyaing PDF
Eagle Freedom Fighter
Hero Brother
Hero Fighter (Salingyi) PDF
Monywa Brave Hearts (MBH)
Mother Son Mandalay Force
Salingyi People's Force (S.P.F)
Shwe Nyi Ko Group
Special Attacking Force (SAF) - Upper Burma
Spring Eagle PDF
The Youth Force (Saw & Kyaukhtu)
Unknown Yangon UG
Fight For People (FFP)
MS9 Brothers PDF
Oak Awe UG (Sa Lay)
Pauk U Gyi PDF
YSO TPG Urban Guerrilla Force
Mahuya Wild Horse PDF
North Yamar PDF
One Star LPDF
Pakokku Revolution Front - PRF
PDF - Pyin Oo Lwin
Special Air Raid Force
Brother Revolution Force – Monywa
Demo Pauk Kwe PDF
National Liberation Army - NLA
Nyaung Yan PDF
Red Dragon Guerrilla Force
RPTF
TCDF
Wundwin Township Revolutionary Force (WTRF)
Wuntho PDF
MDDS
Monywa Force (MYF)
Nine Star PDF
Pakokku North PDF (PKU N PDF)
People’s Revolution Alliance (PRA- Magway)
Without Borders Alliance Force
7 Star Guerrilla Force
Farmers Revolution Force - SGG
Pakokku Guerrilla Force
PRDF
Royal Pakokku Underground Force
Sein Pan Ni Ni Drone Force
Special Guerrilla Force - Pakokku
Union Independence Alliance
Yesagyo Federal Army
Ayeyarwaddy Swallow PDF
Khin-U Special Force Organization
Myingyan MGK Guerrilla Force
Seikphyu Bar Ma Hti PDF
Special Regional Attack Force (S.R.A.F)
Taung Dwin PDF
Wa Ra Zein PDF
Aung Myay PDF
Daung Lu Lin LPDF
Daung Min Ta Marn PDF
The Value of Young Men PDF
Yangon Army
Yenangyaung Phay Kan Kaung Nway Oo PDF
God Of Monywa PDF
Nway Oo Brothers Column
Nway Oo Nyi Naung PDF
Ywar Thar Gyi PDF - Wetlet
Bo Sa Kar Guerrilla Force
Chauk Revolution Army
K.P.K PDF
Khin-U Local Guerrilla Force (KUGF)
Peacock Brother Urban Guerrilla
People’s Dictatorship Revolutionary Force-PDRF
Skylark PDF
Taty-PKU PDF
Yoma Fighter Rambo PDF (Yinmarbin)
"""Twe Yar Thin Chaing Dar Ma Saing"" PDF"
Arrman Revolution Force - ARF
Black God PDF
Guerrilla Falcon
Homalin PDF 124
People's Defence Army-Yinmarbin
Zin Yaw Ni Guerrilla Force
Bomb God
God of Snake - Monywa PDF
King Cobra Force
Min Kun PDF
Moe Ma Kha Underground Revolution Force
Northern Pauk Revolution Front (NPRF)
Peace Takers Task Force-PTTF
RSO PDF - Pakokku
Six Senses Guerrilla Force
Anonymous Special Task Force
Bay Dar Pyan Drone Team
Bo Nyo
Freedom Fighter Guerrilla Force (FFGF)
Monywa Inventor
Shadow Rangers Salingyi - SRS
Thar Htoo
Toe Gyi
U Zin Lay
Western District PDF (Yangon)
Ywar Thit Gyi PDF
Zee Hpyu Pin PDF
Leopard Defence Force
MTOF Group
Phoenix 7 PDF
Ayadaw Golden Dove PDF
Black Silencers Defence Force
Bo Tein Hlwar PDF
Chindwin Revolution Fighter
HYPER UAV FORCE PDF
MC PDF
Taw Twin Tup Pee Local PDF
Anyar Mine PDF
Generation Z PDF
Golden Triangle - Yinmarbin PDF
Indaw Revolution (IR)
PDF - Salin
Scarlett PDF
TBK Wild Elephants Guerrilla Force
Anonymous Heros
Armed Revolutionary Force K.U
Bermuda PDF
Black Joker PDF
James Bond Guerrilla Force
K.K.Fighter Group
Khin-U Region Defensive Alliance Force - KURDAF
Mobile People's Defence Force
Monywa Generation Tigers
Yaw Region PDF's Alliance (YRPA)
9 Brother Force
Black Team PDF
Daung Yin Thway Guerrilla Force
Desert's Falcon PDF
GGG
Northwestern PDF Alliance Force
Pakokku North PDF
Si Taw Gyi PDF
Aung San's Blood Civilian Defense Force – ABCDF
Black Peacock PDF
Giant Revolution Force - GRF
North Okkalapa PDF
Pakokku People's Security Force
People's Defence Force -Mandalay
Steel Butterfly PDF
Student Revolution Army – SRA
Yadanabon Revolutionary Force - YRF
Yaw People Defence Force
Burma Revolution Force - BRF
Man Swei Kyar PDF
National Security Force
Taw Kywe Gyi PDF
Anonymous Force Mandalay (AFM)
Ayee Ye Win PDF – Pauk
Badassess Burma Force
Bo Win PDF – Pauk
Burmese Revolutionary Technical Front - BRTF
Hpar Shwe Kyaw PDF
Killers United PDF
Kyaukpadaung Defence Force - KDF
Myanmar Revolution Army (MRA)
PDF Lion Ingar Budalin
Red Star PDF
TLF PDF - Yso
Burma Independence Army (B.I.A)
CDF-Zotung
Farmer's Independence Force - FIF
Kayan PDF
People's Liberation Force (PLF)
Savior Revolution Force
Taik Tain PDF
Taze People Comrades
Bagan - Nyaung-U Special Task Force
Black Guerrilla Force (PRF)
CAF-SPUPDF (Myaelatt Seikphyu PDF)
Civil Armed Force - CAF
Democratic Guerrillas Force (DGF Lower Chindwin)
Eagle Fighter Defend Force - EFDF
Garuda King Monywa
Jungle Hunter PDF
NGU FF - Mandalay PDF
People's Defence Force Yenangyaung
PKU North PDF
Spring Comrades PDF
Tha Byay Taw PDF
Weretiger PDF
Wild Cat (Shwebo)
Amarapura PDF (Ama PDF)
Ayar Mway Pway Guerrilla Force
GHOST RIDER Special Task Force BURMA
Kyar Nyet PDF
Myaing Garuda PDF
Myitthar PDF
Not Afraid Anything - NAA-DF
Phoenix Wings
Rangers Army
Tein Hlwar Moke Seik PDF
BOB PDF
Desert's Hawk PDF
Dr.Phoenix Medical Team
DRPA
Four Elements PDF
GOBA Moe Kyoe PDF
Knight Commander PDF
Mine Zar Ni
People Power Coalition - PPC
Sar Taung PDF
Ye Khaung PDF
3 Stars Ayadaw PDF
GOM PDF
Maw Kun Thit PDF
Mighty Force (Ta Goe Shin)
Moe Dar PDF - Katha
Monywa Peregrine PDF
Myanmar Revolution Rangers Force (Mandalay)
Myaung Farmers' PDF
New Generation Youth LPDF
Peacock Taman Special Column
Shwe Taw Thar Guerrilla Force
Taungdwingyi PDF
AK 2 PDF
Bo Moe Kyoe PDF
Dragon Brothers People Defense Force - YSO
G4G Defence Force
Kyaukse Revolution Army - KRA
Myit Chay Kyun Chaung Defence Force (MC-KC-DF)
Southern Warriors Defense Force (SWDF)
Tha Khin Phoe Hla Gyi PDF - Chauk
Truth Keeping Force - Amarapura
Bo Pwa Gyi Group
BRAF Drone Team
Generation Z Army
Kalay Underground Force
Myaing PDF - Nant Thar Myaing Guerrilla Force
Myinmu Guerrilla Force
Pakokku Generation Z
Pauk Viper Guerrilla Force
Upper Chindwin River Revolution Force (UCRRF)
Youths Of Mandalay (Y.O.M)
AMA PDF - Ayadaw
Demo Falcon PDF
Federal Wings Drone
KUG-GYZ
LY – PDF
Mindon PDF
Myaung Falcon PDF
Red Crane PDF
Shadow PDF
Special Task Force - STF Mandalay
TLK Guerrilla Force
